category,pos_group,lemma,token_count,cat_total,all_total,V,p_in_cat,lemma_total,p_in_all,distinctiveness
AI_USE,NOUN,assistant,45,4992,11497,130,0.008997429305912597,45,0.003935305310499913,0.8269504365624387
AI_USE,NOUN,chat,26,4992,11497,130,0.005240261024322721,26,0.002291991005016433,0.8269504365624387
AI_USE,NOUN,chatgpt,26,4992,11497,130,0.005240261024322721,26,0.002291991005016433,0.8269504365624387
AI_USE,NOUN,collaboration,29,4992,11497,130,0.0058334981214158595,29,0.002551461684829614,0.8269504365624387
AI_USE,NOUN,software,25,4992,11497,130,0.005042515325291675,25,0.0022055007784120392,0.8269504365624387
AI_USE,NOUN,system,25,4992,11497,130,0.005042515325291675,25,0.0022055007784120392,0.8269504365624387
AI_USE,NOUN,time,352,4992,11497,130,0.06970535890844375,352,0.03048780487804878,0.8269504365624387
AI_USE,NOUN,ai,1531,4992,11497,130,0.3028475380660471,1531,0.13245978204462897,0.8269504365624385
AI_USE,NOUN,model,218,4992,11497,130,0.04320743523828357,218,0.018898114513060026,0.8269504365624383
AI_USE,NOUN,tool,194,4992,11497,130,0.038461538461538464,194,0.016822349074554575,0.8269504365624383
AI_USE,NOUN,llm,33,4992,11497,130,0.006624480917540043,33,0.002897422591247189,0.8269504365624378
AI_USE,VERB,act,14,4992,11497,130,0.0028673126359501683,14,0.0012541082857637088,0.8269504365624387
AI_USE,VERB,ask,243,4992,11497,130,0.04815107771405972,243,0.021060370178169866,0.8269504365624387
AI_USE,VERB,assist,18,4992,11497,130,0.003658295432074352,18,0.0016000691921812834,0.8269504365624387
AI_USE,VERB,automate,12,4992,11497,130,0.002471821237888076,12,0.0010811278325549214,0.8269504365624387
AI_USE,VERB,cut,28,4992,11497,130,0.005635752422384813,28,0.0024649714582252206,0.8269504365624387
AI_USE,VERB,feed,18,4992,11497,130,0.003658295432074352,18,0.0016000691921812834,0.8269504365624387
AI_USE,VERB,fill,26,4992,11497,130,0.005240261024322721,26,0.002291991005016433,0.8269504365624387
AI_USE,VERB,lean,10,4992,11497,130,0.002076329839825984,10,0.0009081473793461339,0.8269504365624387
AI_USE,VERB,love,41,4992,11497,130,0.008206446509788412,41,0.0035893444040823387,0.8269504365624387
AI_USE,VERB,organize,18,4992,11497,130,0.003658295432074352,18,0.0016000691921812834,0.8269504365624387
AI_USE,VERB,prefer,20,4992,11497,130,0.004053786830136444,20,0.0017730496453900709,0.8269504365624387
AI_USE,VERB,prompt,78,4992,11497,130,0.015523037373937117,78,0.006789482788444906,0.8269504365624387
AI_USE,VERB,reach,28,4992,11497,130,0.005635752422384813,28,0.0024649714582252206,0.8269504365624387
AI_USE,VERB,rely,21,4992,11497,130,0.004251532529167491,21,0.0018595398719944646,0.8269504365624387
AI_USE,VERB,spend,51,4992,11497,130,0.010183903500098873,51,0.004454246670126276,0.8269504365624387
AI_USE,VERB,tell,93,4992,11497,130,0.01848922285940281,93,0.00808683618751081,0.8269504365624387
AI_USE,VERB,train,24,4992,11497,130,0.004844769626260629,24,0.0021190105518076457,0.8269504365624387
AI_USE,VERB,turn,35,4992,11497,130,0.007019972315602136,35,0.0030704030444559764,0.8269504365624387
AI_USE,VERB,help,401,4992,11497,130,0.079394898160965,401,0.03472582598166407,0.8269504365624383
AI_USE,VERB,look,167,4992,11497,130,0.033122404587700216,167,0.014487112956235944,0.8269504365624383
AI_USE,VERB,use,1019,4992,11497,130,0.20160174016215146,1019,0.08817678602317938,0.8269504365624383
AI_USE,VERB,clean,15,4992,11497,130,0.003065058334981214,15,0.0013405985123681025,0.8269504365624378
AI_USE,VERB,engage,11,4992,11497,130,0.0022740755388570297,11,0.0009946376059505276,0.8269504365624378
AI_USE,VERB,incorporate,15,4992,11497,130,0.003065058334981214,15,0.0013405985123681025,0.8269504365624378
AI_USE,VERB,integrate,19,4992,11497,130,0.0038560411311053984,19,0.0016865594187856772,0.8269504365624378
AI_USE,VERB,save,48,4992,11497,130,0.009590666403005734,48,0.004194775990313095,0.8269504365624378
AI_USE,VERB,utilize,15,4992,11497,130,0.003065058334981214,15,0.0013405985123681025,0.8269504365624378
AUTHORSHIP,NOUN,article,50,3880,11497,130,0.012801013941698353,50,0.004367756443521882,1.0752749043624474
AUTHORSHIP,NOUN,blog,34,3880,11497,130,0.008745247148288974,34,0.002983912817851583,1.0752749043624474
AUTHORSHIP,NOUN,novel,79,3880,11497,130,0.02015209125475285,79,0.006875973015049299,1.0752749043624474
AUTHORSHIP,NOUN,output,30,3880,11497,130,0.007731305449936629,30,0.002637951911434008,1.0752749043624474
